name,space,r,g,b,hex
Chromatic-Dorval-CH2-0001_GRIS_FUSAIN,RGB,227,229,225,#E3E5E1
Chromatic-Dorval-CH2-0002-GRIS-HANOI,RGB,225,229,223,#E1E5DF
Chromatic-Dorval-CH2-0003-GRIS-JAKARTA,RGB,221,225,219,#DDE1DB
Chromatic-Dorval-CH2-0004-GRIS-LUSAKA,RGB,217,221,217,#D9DDD9
Chromatic-Dorval-CH2-0005-GRIS-CETUS,RGB,207,207,203,#CFCFCB
Chromatic-Dorval-CH2-0006-GRIS-APUS,RGB,217,219,219,#D9DBDB
Chromatic-Dorval-CH2-0007-GRIS-PLOMB,RGB,209,211,209,#D1D3D1
Chromatic-Dorval-CH2-0008-GRIS-HYDRA,RGB,209,209,207,#D1D1CF
Chromatic-Dorval-CH2-0009-GRIS-MARCASSITE,RGB,211,215,209,#D3D7D1
Chromatic-Dorval-CH2-0010-GRIS-METEORITE,RGB,203,205,197,#CBCDC5
Chromatic-Dorval-CH2-0011-GRIS-SEOUL,RGB,225,227,227,#E1E3E3
Chromatic-Dorval-CH2-0012-GRIS-MENSA,RGB,223,223,221,#DFDFDD
Chromatic-Dorval-CH2-0013-GRIS-RADIUM,RGB,219,219,217,#DBDBD9
Chromatic-Dorval-CH2-0014-GRIS-ABUJA,RGB,211,211,209,#D3D3D1
Chromatic-Dorval-CH2-0015-GRIS-BOGOTA,RGB,211,215,215,#D3D7D7
Chromatic-Dorval-CH2-0016-GRIS-PICTOR,RGB,225,227,221,#E1E3DD
Chromatic-Dorval-CH2-0017-GRIS-SCORPION,RGB,225,225,217,#E1E1D9
Chromatic-Dorval-CH2-0018-GRIS-MIRANDA,RGB,221,221,215,#DDDDD7
Chromatic-Dorval-CH2-0019-GRIS-DOHA,RGB,235,239,235,#EBEFEB
Chromatic-Dorval-CH2-0020-GRIS-NICOSIE,RGB,223,215,201,#DFD7C9
Chromatic-Dorval-CH2-0021-BLANC-BRUNNI,RGB,233,237,235,#E9EDEB
Chromatic-Dorval-CH2-0022-BLANC-CHAMPOUSSIN,RGB,235,237,231,#EBEDE7
Chromatic-Dorval-CH2-0023-BLANC-CHAMPAGNY,RGB,227,227,217,#E3E3D9
Chromatic-Dorval-CH2-0024-GRIS-TOURS,RGB,225,223,213,#E1DFD5
Chromatic-Dorval-CH2-0025-GRIS-VIENNE,RGB,217,209,197,#D9D1C5
Chromatic-Dorval-CH2-0026-BLANC-LUCHON,RGB,241,241,235,#F1F1EB
Chromatic-Dorval-CH2-0027-BLANC-VERBIER,RGB,249,245,235,#F9F5EB
Chromatic-Dorval-CH2-0028-BLANC-ISOLA,RGB,239,241,235,#EFF1EB
Chromatic-Dorval-CH2-0029-BLANC-CHALMAZEL,RGB,243,243,233,#F3F3E9
Chromatic-Dorval-CH2-0030-BLANC-ABONDANCE,RGB,243,241,225,#F3F1E1
Chromatic-Dorval-CH2-0031-BLANC-ASPEN,RGB,245,245,235,#F5F5EB
Chromatic-Dorval-CH2-0032-BLANC-ARCALIS,RGB,237,239,235,#EDEFEB
Chromatic-Dorval-CH2-0033-BLANC-COURMAYER,RGB,239,237,229,#EFEDE5
Chromatic-Dorval-CH2-0034-BLANC-AVERS,RGB,235,231,223,#EBE7DF
Chromatic-Dorval-CH2-0035-BLANC-ORDINO,RGB,233,235,223,#E9EBDF
Chromatic-Dorval-CH2-0036-ROSE-ACHILEE,RGB,237,235,231,#EDEBE7
Chromatic-Dorval-CH2-0037-BLANC-AROLLA,RGB,249,251,251,#F9FBFB
Chromatic-Dorval-CH2-0038-BEIGE-TERREUX,RGB,237,231,221,#EDE7DD
Chromatic-Dorval-CH2-0039-BLANC-VILLAROGER,RGB,239,233,221,#EFE9DD
Chromatic-Dorval-CH2-0040-BLANC-ARCS,RGB,235,227,215,#EBE3D7
